Task_ID,Query,Answer,Latency_Seconds,Retrieved_Evidence_IDs,Score_1_Groundedness_1_to_4,Score_2_Citation_1_to_4,Score_3_Usefulness_1_to_4,Failure_Notes
Task_1,What specific failures does the 'AfroBench' paper identify in current LLMs?,"The 'AfroBench' paper identifies several specific failures in current LLMs: 1) There is a large gap in performance between high-resource languages like English and African languages across most tasks, indicating that LLMs are more biased towards English and a few high-resource languages. 2) Performance varies significantly across African languages, correlating with the availability of monolingual text data. For example, Swahili, with more monolingual text available, performs better than Wolof, which has less data. 3) Current LLMs, especially open models, show a performance gap when compared to proprietary models, particularly in complex tasks like mathematical reasoning. 4) The paper underscores the need for better adaptation techniques to improve LLM performance for African languages.",3.16,"(Ojo et al., 2025) | IrokoBench_ A New Benchmark for African Languages in the Age of Large  Language Models.pdf",4,4,4,
Task_2,"According to Conneau (2020), how does XLM-R compare to mBERT?","According to Conneau (2020), XLM-R outperforms mBERT in cross-lingual transfer tasks. Specifically, XLM-R achieves 80.9% accuracy on the XNLI benchmark, outperforming mBERT by 14.6% average accuracy. In low-resource languages like Swahili and Urdu, XLM-R outperforms mBERT by 23.5% and 15.8%, respectively.",2.79,Unsupervised Cross-Lingual Representation.pdf,4,4,4,
Task_3,What are the three main challenges in preserving cultural identity according to Anik (2025)?,"The three main challenges in preserving cultural identity according to Anik (2025) are: 1) AI-driven translation models often fail to capture cultural nuances, idiomatic expressions, and historical significance, leading to translations that marginalize linguistic diversity. 2) The dominance of major languages due to globalization places nearly 3,000 languages at risk of extinction. 3) Existing AI-driven translation models prioritize efficiency over cultural authenticity.",2.03,Preserving Cultural Identity with Context-Aware Translation Through  Multi-Agent AI Systems.pdf,4,4,4,
Task_4,How does the 'Cheetah' paper propose to handle 517 African languages?,"The 'Cheetah' paper proposes to handle 517 African languages by developing a massively multilingual natural language generation (NLG) language model specifically designed for these languages. Cheetah is trained on a 42G multi-domain corpus across these languages, which are spoken in 50 of 54 African countries and written in five different scripts. The model aims to address the scarcity of NLG resources for African languages, improve access to important information, and support language preservation. It demonstrates its effectiveness through comprehensive evaluations across six generation downstream tasks, significantly outperforming other models in five of these tasks.",2.87,Cheetah_ Natural Language Generation for 517 African Languages.pdf,4,4,4,
Task_5,What metrics were used to evaluate the 'NaijaSenti' corpus?,"The NaijaSenti corpus was evaluated using human performance metrics, specifically the micro-F1 and Matthew’s correlation coefficient (MCC).",2.15,"(Muhammad et al., 2022)",4,4,4,
Task_6,Does the 'Localising SA official languages' paper recommend manual or automated collection?,Insufficient Evidence. The context does not specify whether the 'Localising SA official languages' paper recommends manual or automated collection.,1.84,"(De Wet et al., 2023)",2,3,4,"Failed to identify that crowdsourcing  was in support of manual data collection  the paper actually identifies manual crowdsourcing, involving native speakers and experts, as a cost-effective, rapid method to ensure cultural accuracy and linguistic diversity in under-resourced languages. "
Task_7,What is the 'Bitter Lesson' described by Wu et al. (2025)?,Insufficient Evidence. The context provided does not contain specific information about the 'Bitter Lesson' described by Wu et al. (2025).,1.95,None,4,,,
Task_8,List the datasets used in the 'IrokoBench' benchmark.,"The datasets used in the 'IrokoBench' benchmark are AfriXNLI, AfriMGSM, and AfriMMLU.",1.61,IrokoBench_ A New Benchmark for African Languages in the Age of Large  Language Models.pdf,4,4,4,
Task_9,What is the main contribution of the 'No Language Left Behind' project?,"The main contribution of the 'No Language Left Behind' project is the development of translation technologies aimed at eradicating language barriers on a global scale, particularly focusing on low-resource languages. This includes creating datasets and models to narrow the performance gap between low and high-resource languages, and making these resources publicly available to encourage community collaboration and innovation.",2.08,No Language Left Behind_ Scaling Human-Centered Machine Translation.pdf,4,4,4,
Task_10,How does 'AfriCOMET' improve upon standard COMET metrics?,"'AfriCOMET' improves upon standard COMET metrics by enhancing the evaluation metric to accommodate various under-resourced African languages. It addresses the scarcity of evaluation datasets by creating AFRI MTE, a human evaluation dataset focusing on MT adequacy and fluency for 13 typologically diverse African languages. Additionally, AfriCOMET simplifies the MQM annotation guidelines for non-expert evaluators and establishes benchmark MT evaluation and reference-free QE systems. AfriCOMET-STL surpasses the cutting-edge COMET22 system across all three correlation coefficients, and AfriCOMET-QE systems outperform the state-of-the-art CometKiwi system, demonstrating its efficacy in MT evaluation and QE tasks.",3.89,"(Wang et al., 2024)",4,4,4,
Task_11,Compare the approaches of 'Masakhane' and 'NLLB' regarding community involvement.,"The 'Masakhane' project emphasizes community involvement by offering barrier-free open access to hands-on NLP experiences with African languages. It facilitates a collaborative online community through weekly meetings, an active Slack workspace, and a GitHub repository, allowing members to support each other despite geographical distances. No academic prerequisites are required for participation, which is significant given the minimal tertiary education enrollments in sub-Saharan Africa [source_28]. In contrast, 'NLLB' (No Language Left Behind) focuses on interdisciplinary collaboration and aims to include scholars from underrepresented fields. It emphasizes the importance of community-level interests and values, inspired by Value Sensitive Design, to ensure that the research benefits low-resource language communities. NLLB also conducted interviews with low-resource language speakers to understand their perceptions and maximize social gains while minimizing risks [source_13].",3.99,"(Orife et al., 2020) | No Language Left Behind_ Scaling Human-Centered Machine Translation.pdf",4,4,4,
Task_12,What common biases do 'CultureVLM' and 'Global MMLU' identify in multilingual models?,"The common biases identified by 'CultureVLM' and 'Global MMLU' in multilingual models include cultural bias and language bias. Cultural bias arises from the focus on Western-centric concepts and the requirement of culturally-sensitive knowledge, which affects the effectiveness of these models as global benchmarks. Language bias refers to the unequal performance of multilingual models across different languages, often due to the dominance of English and other major languages in training data, which results in lower support for low-resource languages or minority dialects.",3.07,"Global MMLU_ Understanding and Addressing Cultural and Linguistic Biases  in Multilingual Evaluation.pdf | A Survey on Multilingual Large Language Models_ Corpora, Alignment, and  Bias.pdf",4,4,4,
Task_13,Synthesize the findings on 'Code-Switching' from Terblanche (2024) and any other relevant paper.,"Insufficient Evidence. The context does not provide any information on 'Code-Switching' from Terblanche (2024). To find relevant information, you should try searching for 'Terblanche 2024 code-switching findings' or 'Terblanche 2024 code-switching research'.",3.17,None,4,,,
Task_14,Do 'AfroBench' and 'IrokoBench' agree on the performance of GPT-4 for African languages?,"AfroBench and IrokoBench both highlight a performance gap between high-resource languages and African languages for GPT-4. AfroBench notes that proprietary models like GPT-4o achieve better performance than African languages by more than +25 score improvements [source_33]. IrokoBench also observes a significant performance gap between high-resource languages and African languages, with proprietary models generally outperforming open models [source_08]. Therefore, both benchmarks agree on the performance challenges of GPT-4 for African languages.",3.52,"(Ojo et al., 2025) | IrokoBench_ A New Benchmark for African Languages in the Age of Large  Language Models.pdf",4,4,4,
Task_15,How do 'NileChat' and 'Jawaher' differ in their approach to Arabic dialects?,"'NileChat' and 'Jawaher' differ in their approach to Arabic dialects in several ways. 'NileChat' focuses on developing a large language model (LLM) that is proficient in both Egyptian and Moroccan dialectal Arabic, including Arabizi variants, and aims to enhance cultural and values alignment through controlled synthetic data generation and retrieval-augmented pre-training [source_29]. On the other hand, 'Jawaher' is a dataset that covers 20 different Arabic varieties, with a focus on dialect representation, themes, and cultural context. It is manually curated by native Arabic speakers to ensure a diverse and authentic representation of proverbs from various Arab countries [source_23].",2.73,NileChat_ Towards Linguistically Diverse and Culturally Aware LLMs for Local Communities.pdf | Jawaher_ A Multidialectal Dataset of Arabic Proverbs for LLM  Benchmarking.pdf,4,4,4,
Task_16,What does the corpus say about 'Quantum Computing in Yoruba'?,Insufficient Evidence,2.02,None,4,,,
