source_id,filename,title,author,year,citation,Venue,Link /DOI,relevance_note
source_01,A Survey on Large Language Models with Multilingualism_ Recent Advances and New Frontiers.pdf,A Survey on Large Language Models with Multilingualism: Recent Advances and New Frontiers,Huang et al.,2025,"(Huang et al., 2025)",AphaXiv,arXiv:2405.10936v2," Broad overview of the current state of multilingual LLMs, covering training, inference, and security."
source_02,AfroBench_ How Good are Large Language Models on African Languages?.pdf,AfroBench: How Good are Large Language Models on African Languages?,Ojo et al.,2025,"(Ojo et al., 2025)",AphaXiv,https://arxiv.org/abs/2311.07978v5,"Establishes a multi-task benchmark for 64 African languages, quantifying the performance gap between English and low-resource languages."
source_03,"A Survey on Multilingual Large Language Models_ Corpora, Alignment, and Bias.pdf","A Survey on Multilingual Large Language Models: Corpora, Alignment, and Bias",Xu et al.,2024,"(Xu et al., 2024)",AphaXiv,https://doi.org/10.1007/s11704-024-40579-4,"Focuses specifically on the challenges of corpora, alignment, and bias in multilingual large language models."
source_04,Bridging Gaps in Natural Language Processing for Yorùbá_ A Systematic Review of a Decade of Progress and Prospects.pdf,Bridging Gaps in Natural Language Processing for Yorùbá: A Systematic Review,Jimoh et al.,2025,"(Jimoh et al., 2025)",AphaXiv,arXiv:2502.17364v1,A systematic review of a decade of NLP progress specifically for the Yorùbá language.
source_05,Cross-lingual transfer of multilingual models on low resource African Languages.pdf,Cross-lingual transfer of multilingual models on low resource African Languages,Thangaraj et al.,2024,"(Thangaraj et al., 2024)",AphaXiv,https://arxiv.org/abs/2409.10965,Benchmarks how well models like mBERT and AfriBERT transfer knowledge from high to low-resource Bantu languages.
source_06,AfriMTE and AfriCOMET_ Enhancing COMET to Embrace Under-resourced African Languages.pdf,AfriMTE and AfriCOMET: Enhancing COMET to Embrace Under-resourced African Languages,Wang et al.,2024,"(Wang et al., 2024)",AphaXiv,arXiv:2311.09828v3,"Introduces specific evaluation metrics (AfriCOMET) tailored for African languages, improving upon standard BLEU/COMET scores."
source_07,CROSSLINGUAL TRANSFER OF DEBIASING TECHNIQUES.pdf,Investigating Bias in Multilingual Language Models: Cross-Lingual Transfer of Debiasing Techniques,Reusens et al.,2023,"(Reusens et al., 2023)",AphaXiv,"https://doi.org/10.48550/arXiv.2310.10310
",Investigates if debiasing techniques developed for English can be successfully transferred to other languages in mBERT.
source_08,CultureVLM_ Characterizing and Improving Cultural Understanding of Vision-Language Models for over 100 Countries.pdf,CultureVLM: Characterizing and Improving Cultural Understanding of Vision-Language Models,Liu et al.,2025,"(Liu et al., 2025)",AphaXiv,arXiv:2501.01282v1,"Investigates how vision-language models fail to recognize non-Western cultural artifacts and proposes ""CultureVerse"" to fix it."
source_09,Generative AI and Large Language Models in Language Preservation_ Opportunities and Challenges.pdf,Generative AI and Large Language Models in Language Preservation: Opportunities and Challenges,Koc,2025,"(Koc, 2025)",AphaXiv,https://arxiv.org/abs/2501.11496,A framework for using GenAI to revitalize endangered languages while maintaining data sovereignty.
source_10,Global MMLU_ Understanding and Addressing Cultural and Linguistic Biases in Multilingual Evaluation.pdf,Global MMLU: Understanding and Addressing Cultural and Linguistic Biases in Multilingual Evaluation,Singha et al.,2025,"(Singha et al., 2025)",AphaXiv,https://arxiv.org/abs/2412.03304,Primary source for low-resource NLP research.
